"language";"availableLanguages";"uri";"title";"type";"source";"represents"
"en";"en,any";"/docs/projects/cnect/7/258457/080/deliverables/001-116676D32final.pdf";"Update on Split Architecture for Large-Scale Wide-Area Networks";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/7/258457/080/deliverables/001-SPARCD213.pdf";"updated";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/5/257245/080/publishing/logo1/VITRO1.JPG";"VITRO";"relatedImage";"ppm";"projectLogo"
"en";"en,any";"/docs/projects/cnect/5/257245/080/publishing/logo2/VITRO.JPG";"VITRO approach";"relatedImage";"ppm";"projectLogo"
"en";"en,any";"/docs/projects/cnect/6/213696/080/publishing/logo1/NEM-gif.jpg";"4NEM";"relatedImage";"ppm";"projectLogo"
"en";"en,any";"/docs/projects/cnect/0/258300/080/deliverables/001-ONED33.pdf";"D3.3 Final Report on functional design of the basic and advanced modules in ONE";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/0/258300/080/deliverables/001-onefp7infsoict258300d62.pdf";"D6.2 Final report on the exploitation plans of ONE solution";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/0/258300/080/deliverables/001-d31101062011.pdf";"D3.1 Preliminary Report on IP and carrier-grade management functions analysis";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/0/258300/080/deliverables/001-onefp7infsoict258300d61.pdf";"D6.1 Final report on scientific dissemination and collaboration activities";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/0/258300/080/deliverables/001-ONEFP7INFSOICT258300D21.pdf";"D2.1 Definition of requirements and use cases";"relatedPrint";"ppm";""
